F=003A S=000E B=0398 P=002E C=004C R=AD89 N=DED8
F=003A S=000F B=03AB P=0026 C=004C R=4A4F N=E448
F=003A S=000F B=03BF P=002D C=01CB R=01C1 N=E9B8
F=003A S=0012 B=03D2 P=002B C=004C R=7AE1 N=EF28
F=003A S=001D B=03E5 P=0021 C=004C R=85CE N=F498
F=003A S=0016 B=03F9 P=002B C=004C R=F2A4 N=FA08
F=003A S=001C B=040C P=009D C=01D4 R=7318 N=FF78
F=003A S=001D B=041F P=005C C=01D4 R=AC47 N=FFFF
F=003A S=001D B=0433 P=009D C=004C R=BA6B N=FFFF
F=003A S=001D B=0442 P=00A0 C=004C R=E782 N=FFFF
F=003A S=001D B=0450 P=009D C=0233 R=11FF N=FFFF
F=003A S=001D B=0460 P=0062 C=01D7 R=48F5 N=FFFF
F=003A S=001D B=0474 P=009D C=004C R=1FF6 N=FFFF
F=003A S=001D B=0487 P=009D C=004C R=E67E N=FFFF
F=003A S=001D B=049A P=0062 C=0246 R=7C66 N=FFFF
F=003A S=001D B=04AE P=009D C=004C R=16D3 N=FFFF
F=003A S=001D B=04C1 P=009D C=004C R=C21F N=FFFF
F=003A S=001D B=04D3 P=0027 C=004C R=34FD N=FFFF
F=003A S=001D B=04E2 P=0032 C=004C R=BBB2 N=FFFF
F=003A S=001D B=04F4 P=0034 C=004C R=7F76 N=FFFF
F=003A S=001D B=0507 P=0032 C=004C R=987D N=FFFF
F=003A S=001D B=051A P=002B C=004C R=ED84 N=FFFF
F=003A S=001D B=052E P=002F C=004C R=0AE9 N=FFFF
F=003A S=001D B=0541 P=0029 C=004C R=A820 N=FFFF
F=003A S=001D B=0554 P=0022 C=004C R=6932 N=FFFF
F=003A S=001D B=0567 P=002E C=004C R=861E N=FFFF
F=003A S=001D B=057B P=0038 C=004C R=A06F N=FFFF
F=003A S=001D B=058E P=0036 C=004C R=6E08 N=FFFF
F=003A S=001D B=05A1 P=0021 C=004C R=7E62 N=FFFF
F=003A S=001D B=05B5 P=002E C=004C R=BA06 N=FFFF
F=003A S=001D B=05C7 P=003B C=004C R=647D N=FFFF
F=003A S=001D B=05D9 P=0038 C=004C R=B535 N=FFFF
F=003A S=001C B=05EC P=0053 C=004C R=378C N=FFFF
F=003A S=001D B=05FE P=0033 C=004C R=0A51 N=FFFF
F=003A S=001D B=0611 P=0028 C=004C R=8B04 N=FFFF
F=003A S=001C B=0625 P=00A1 C=004C R=54CB N=FFFF
F=003A S=001D B=0638 P=005F C=004C R=649E N=FFFF
F=003A S=001D B=064C P=009E C=0203 R=A178 N=FFFF
F=003A S=001D B=065E P=009F C=01CF R=B222 N=FFFF
F=003A S=001D B=066C P=009D C=01D4 R=E7E2 N=FFFF
F=003A S=001D B=067B P=009F C=004C R=0D22 N=FFFF
F=003A S=001D B=068D P=009D C=004C R=2AD9 N=FFFF
F=003A S=001D B=06A0 P=009D C=004E R=F856 N=FFFF
F=003A S=001D B=06B3 P=0062 C=01DD R=A7F2 N=FFFF
F=003A S=001D B=06C7 P=009D C=01CB R=41CC N=FFFF
F=003A S=001D B=06DA P=009D C=004C R=E499 N=FFFF
F=003A S=001D B=06ED P=0056 C=004C R=9444 N=FFFF
F=003A S=001C B=06FF P=0024 C=004C R=8FD5 N=FFFF
F=003A S=001D B=0712 P=0030 C=004C R=5673 N=FFFF
F=003A S=001D B=0725 P=002F C=004C R=5492 N=FFFF
F=003A S=001D B=0733 P=0026 C=004C R=ADB3 N=FFFF
F=003A S=001D B=0744 P=0033 C=004C R=2C77 N=FFFF
F=003A S=001D B=0754 P=0029 C=004C R=4125 N=FFFF
F=003A S=001D B=0768 P=002D C=004C R=4FA6 N=FFFF
F=003A S=001D B=077B P=0030 C=004C R=8C3C N=FFFF
F=003A S=001D B=078E P=0032 C=004C R=2361 N=FFFF
F=003A S=001D B=07A1 P=001D C=004C R=5E72 N=FFFF
F=003A S=001D B=07BB P=001B C=004C R=EF40 N=FFFF
F=003A S=001D B=07CC P=0028 C=004C R=AA82 N=FFFF
F=003A S=001D B=07DC P=0026 C=004C R=71C4 N=FFFF
F=003A S=001D B=07EF P=0018 C=004C R=8023 N=FFFF
F=003A S=001C B=0800 P=001F C=004C R=FE36 N=FFFF
F=003A S=001D B=0814 P=0026 C=004C R=3F1B N=FFFF
F=003A S=001D B=0828 P=0022 C=004C R=74E8 N=FFFF
F=003A S=001D B=083B P=0017 C=004C R=E851 N=FFFF
F=003A S=001D B=084F P=001C C=004C R=0741 N=FFFF
F=003A S=001D B=0862 P=001E C=004C R=3553 N=FFFF
F=003A S=001C B=0872 P=001C C=004C R=82E9 N=FFFF
F=003A S=001D B=0885 P=001C C=004C R=E33E N=FFFF
F=003A S=001D B=0898 P=0028 C=004C R=1DF4 N=FFFF
F=003A S=001D B=08AB P=0014 C=004C R=233A N=FFFF
F=003A S=001D B=08BF P=001A C=004C R=4D0E N=FFFF
F=003A S=001D B=08D2 P=0021 C=004C R=0CC4 N=FFFF
F=003A S=001D B=08E5 P=0019 C=004C R=5EA8 N=FFFF
F=003A S=001C B=08F9 P=001D C=004C R=DCAC N=FFFF
F=003A S=001D B=090D P=0020 C=004C R=259D N=FFFF
F=003A S=001D B=0922 P=0018 C=004C R=E739 N=FFFF
F=003A S=001D B=0935 P=0010 C=004C R=D815 N=FFFF
F=003A S=001D B=0949 P=0017 C=004C R=AD89 N=FFFF
F=003A S=001D B=095C P=0017 C=004C R=42E7 N=FFFF
F=003A S=001D B=096F P=0013 C=004C R=262F N=FFFF
F=003A S=001C B=0983 P=009D C=0200 R=DA5A N=FFFF
F=003A S=001D B=0996 P=009F C=004C R=FBCE N=FFFF
F=003A S=001D B=09A9 P=005E C=0226 R=2A4C N=FFFF
F=003A S=001D B=09BB P=00A0 C=01CA R=39CA N=FFFF
F=003A S=001D B=09CA P=009D C=00AA R=6996 N=FFFF
F=003A S=001D B=09D8 P=009F C=004C R=A065 N=FFFF
F=003A S=001D B=09EA P=0060 C=004C R=B158 N=FFFF
F=003A S=001D B=09FE P=009D C=00ED R=7CA8 N=FFFF
F=003A S=001D B=0A11 P=009D C=004C R=308B N=FFFF
F=003A S=001D B=0A24 P=0062 C=0240 R=C66D N=FFFF
F=003A S=001D B=0A38 P=009D C=004C R=68E1 N=FFFF
F=003A S=001D B=0A4B P=009D C=004C R=1C94 N=FFFF
F=003A S=0007 B=0A5E P=0055 C=004C R=35C5 N=FFFF
F=003A S=0000 B=0A72 P=009D C=004C R=35C5 N=FFFF
F=003A S=0000 B=0A85 P=009D C=004C R=35C5 N=FFFF
F=003A S=0000 B=0A98 P=0055 C=004C R=35C5 N=FFFF
F=003A S=0000 B=0AAC P=009D C=004C R=35C5 N=FFFF
F=003A S=000B B=0AD7 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0B11 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0B4B P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0B85 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0BBF P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0BF9 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0C33 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0C6D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0CA7 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0CE1 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0D1B P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0D55 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0D8F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0DC9 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0E03 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0E3D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0E77 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0EB1 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0EEB P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0F25 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0F5F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0F99 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=0FD3 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=100D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1047 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1081 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=10BB P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=10F5 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=112F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1169 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=11A3 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=11DD P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1217 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1251 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=128B P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=12C5 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=12FF P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1339 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1373 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=13AD P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=13E7 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1421 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=145B P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1495 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=14CF P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1509 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1543 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=157D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=15B7 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=15F1 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=162B P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1665 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=169F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=16D9 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1713 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=174D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1787 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=17C1 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=17FB P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1835 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=186F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=18A9 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=18E3 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=191D P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1957 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1991 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=19CB P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1A05 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1A3F P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1A79 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1AB3 P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1AED P=0000 C=004C R=35C5 N=FFFF
F=003A S=001D B=1B27 P=0000 C=004C R=35C5 N=FFFF
